name,price,owner,driven km,transmission,fuel,body type,mileage,engine cc,max power bhp,wheel size inches,no of seats
Maruti Suzuki Ertiga VDi SHVS 2017,"₹ 9,00,000",First Owner,50000 Km,Manual,Diesel,MUV,24.52 kmpl,1248 cc,89 bhp,15 inch,7 Seater
Honda City VX (O) MT 2016,"₹ 9,00,000",First Owner,50000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Land Rover Freelander 2 TD4 HSE 2011,"₹ 16,63,291",First Owner,40178 Km,Automatic,Diesel,SUV,12.39kmpl,2179 cc,147.51bhp,17 Inch,5 Seater
Audi A3 35 TDI PREMIUM PLUS 2015,"₹ 16,50,000",First Owner,49000 Km,Automatic,Diesel,Sedan,20.38 kmpl,1968 cc,141 bhp,16 inches,5 Seater
Hyundai Creta SX (O) 1.5 Diesel BS6 2020,"₹ 16,59,000",First Owner,12455 Km,Manual,Diesel,SUV,21.4 kmpl,1493 cc,113 bhp,17 inch,5 Seater
Skoda Laura ELEGANCE 1.9 TDI MT 2011,"₹ 4,75,000",First Owner,89000 Km,Manual,Diesel,Sedan,12.66 kmpl,1896 cc,105 bhp,15 Inch,5 Seater
Ford EcoSport Titanium 1.5L TDCi 2015,"₹ 5,90,000",First Owner,97565 Km,Manual,Diesel,SUV,18.88 kmpl,1499 cc,110,"15""",5 Seater
Mahindra Thar CRDe 4x4 2018,"₹ 9,42,000",First Owner,1200 Km,Manual,Diesel,SUV,13 kmpl,2498 cc,105 bhp,16'',5 Seater
Skoda Superb 1.8 L&K TSI AT 2017,"₹ 19,20,000",First Owner,43000 Km,Automatic,Petrol,Sedan,14.7 kmpl,1798 cc,177.46bhp,17 Inch,5 Seater
Renault KWID CLIMBER 1.0 AMT 2018,"₹ 3,10,000",First Owner,42000 Km,Automated Manual Transmission,Petrol,Hatchback,25.17 kmpl,999 cc,53,13 Inch,5 Seater
Renault KWID 1.0 RXT Opt 2017,"₹ 3,25,000",First Owner,18000 Km,Manual,Petrol,Hatchback,25.17 kmpl,999 cc,70bhp,13 Inch,5 Seater
Mercedes-Benz C-Class 250 CDI 2012,"₹ 13,00,000",First Owner,83000 Km,Automatic,Diesel,Sedan,19.27 kmpl,2143 cc,170 bhp,R16,5 Seater
Ford EcoSport Titanium 1.5L Ti-VCT 2019,"₹ 8,25,000",First Owner,34000 Km,Manual,Petrol,SUV,17 kmpl,1497 cc,121 bhp,16 Inches,5 Seater
Ford EcoSport Titanium+ 1.5L TDCi 2016,"₹ 7,72,500",First Owner,65000 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Chevrolet Enjoy 1.3 TCDI LS 8 STR 2014,"₹ 3,49,000",First Owner,77000 Km,Manual,Diesel,MUV,18.2 kmpl,1248 cc,76,14 Inch,8 Seater
Chevrolet Aveo 1.4 CNG 2011,"₹ 1,35,000",Third Owner,80000 Km,Manual,Petrol + CNG,Sedan,11.9 kmpl,1399 cc,94 bhp,14 Inches,5 Seater
Toyota Camry Hybrid 2018,"₹ 28,80,000",First Owner,51000 Km,Automatic,Petrol,Sedan,19.16 kmpl,2494 cc,158 bhp,17 Inch,5 Seater
Toyota Fortuner 2.7 4x2 AT 2018,"₹ 29,80,000",Second Owner,14000 Km,Automatic,Petrol,SUV,10.26 kmpl,2694 cc,164 bhp,17 Inch,7 Seater
Toyota Etios G 2011,"₹ 1,99,000",Third Owner,75000 Km,Manual,Petrol,Sedan,17.57 kmpl,1496 cc,90 bhp,14 Inch,5 Seater
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV 2012,"₹ 5,40,750",Second Owner,150000 Km,Manual,Diesel,MUV,12.99 kmpl,2494 cc,100.6bhp,15 Inch,5 Seater
Maruti Suzuki Eeco 5 STR AC 2010,"₹ 2,50,000",First Owner,87000 Km,Manual,Petrol,Van,16.20 Kmpl,1196 CC,73 bhp,13 Inch,5 Seater
Maruti Suzuki Alto K10 VXi 2018,"₹ 4,00,000",First Owner,35959 Km,Manual,Petrol,Hatchback,24.07 kmpl,998 cc,67 bhp,13 inch,5 Seater
Toyota Etios GD 2011,"₹ 3,90,000",First Owner,120435 Km,Manual,Diesel,Sedan,18 Kmpl,1364 cc,68 bhp,14 Inch,5 Seater
Volkswagen Polo Highline1.2L (P) 2014,"₹ 5,35,000",First Owner,42831 Km,Manual,Petrol,Hatchback,16 Kmpl,1198 cc,74 bhp,15'',5 Seater
Hyundai Eon Magna + 2015,"₹ 2,50,000",First Owner,25506 Km,Manual,Petrol,Hatchback,21.1 kmpl,814cc,55 bhp,12 Inch,5 Seater
Hyundai Creta 1.6 SX+ Petrol 2016,"₹ 9,00,000",First Owner,80000 Km,Manual,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,16 Inch,5 Seater
Toyota Innova Crysta 2.4 G Plus 7 STR 2019,"₹ 25,00,000",First Owner,5400 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Audi Q3 2.0 TDI quattro Premium 2014,"₹ 18,85,000",First Owner,60018 Km,Automatic,Diesel,SUV,15.77 kmpl,1968 cc,174 bhp,16 inches,5 Seater
Hyundai i10 Magna 1.2 2012,"₹ 2,57,500",Second Owner,58000 Km,Manual,Petrol,Hatchback,20 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Hyundai Creta 1.6 E+ Petrol 2015,"₹ 8,44,600",First Owner,58000 Km,Manual,Petrol,SUV,15.29 kmpl,1591 cc,122,16'',5 Seater
Maruti Suzuki Swift VDi 2012,"₹ 3,60,500",First Owner,66500 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Renault KWID 1.0 RXT 2017,"₹ 4,12,000",First Owner,9000 Km,Manual,Petrol,Hatchback,23.01 kmpl,999 cc,67 bhp,13 Inch,5 Seater
Toyota Glanza G 2019,"₹ 7,72,500",First Owner,12000 Km,Manual,Petrol,Hatchback,23.87 kmpl,1197 cc,89 bhp,16 Inches,5 Seater
Toyota Innova 2.5 VX 8 STR BS IV 2015,"₹ 8,50,000",First Owner,110000 Km,Manual,Diesel,MUV,12.99 kmpl,2494 cc,100 bhp,15 Inch,5 Seater
Maruti Suzuki Baleno Delta 1.3 2017,"₹ 4,75,000",First Owner,55000 Km,Manual,Diesel,Hatchback,27.39kmpl,1248 cc,74 bhp,15 Inch,5 Seater
BMW 5 Series 530d 2012,"₹ 16,00,000",First Owner,100000 Km,Automatic,Diesel,Sedan,14.69 kmpl,2993 cc,258 bhp,18'',5 Seater
Maruti Suzuki Alto 800 VXi 2015,"₹ 2,50,000",First Owner,67000 Km,Manual,Petrol,Hatchback,24.7 kmpl,796 cc,48 bhp,12 Inch,5 Seater
Hyundai Creta 1.6 SX+ Petrol Special Edition 2016,"₹ 10,85,872",First Owner,25414 Km,Manual,Petrol,SUV,15.29 kmpl,1591 cc,122 bhp,17 Inch,5 Seater
Mercedes-Benz C-Class Cabriolet C 300 2019,"₹ 49,98,896",First Owner,19856 Km,Automatic,Petrol,Convertible,17.9kmpl,1991 cc,255 bhp,17 Inches,4 Seater
Maruti Suzuki Dzire VXi AMT 2017,"₹ 6,25,000",First Owner,33000 Km,Automatic,Petrol,Sedan,22 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Maruti Suzuki Baleno Alpha 1.3 2016,"₹ 5,75,000",First Owner,59000 Km,Manual,Diesel,Hatchback,27.39 kmpl,1248 cc,74 bhp,15 Inch,5 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,5800 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Innova Crysta 2.4 G 7 STR 2018,"₹ 25,00,000",First Owner,5900 Km,Manual,Diesel,MUV,15.1 kmpl,2393 cc,148 bhp,16 inch,7 Seater
Toyota Fortuner Sigma 4 2018,"₹ 40,00,000",First Owner,8000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Maruti Suzuki Wagon R LXi 2018,"₹ 3,96,550",First Owner,33000 Km,Manual,Petrol,Hatchback,20.5 kmpl,998 cc,67 bhp,13 Inch,5 Seater
Honda City 1.5 S MT 2011,"₹ 3,60,500",First Owner,68000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Toyota Fortuner Sigma 4 2019,"₹ 45,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Ford Endeavour Titanium Plus 3.2 4x4 AT 2019,"₹ 45,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,10.71 kmpl,3198 cc,197 bhp,18,7 Seater
BMW 5 Series 520d Luxury Line 2019,"₹ 60,00,000",First Owner,25000 Km,Automatic,Diesel,Sedan,22.48 kmpl,1995 cc,188 bhp,18 Inches,5 Seater
Mercedes-Benz E-Class E 200 Exclusive BS6 2021,"₹ 80,00,000",First Owner,50000 Km,Automatic,Petrol,Sedan,12.06 kmpl,1991 cc,194 bhp,17 inch,5 Seater
Jaguar XE Prestige 2018,"₹ 40,00,000",First Owner,8800 Km,Automatic,Petrol,Sedan,13.06 kmpl,1999 cc,197 bhp,17 Inch,5 Seater
Toyota Fortuner Sigma 4 2018,"₹ 40,00,000",First Owner,5900 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
BMW X1 sDrive20d 2019,"₹ 35,00,000",First Owner,8000 Km,Automatic,Diesel,SUV,15.06 kmpl,1995 cc,177 bhp,17 Inch,5 Seater
Ford Endeavour Titanium Plus 3.2 4x4 AT 2019,"₹ 45,00,000",First Owner,5200 Km,Automatic,Diesel,SUV,10.71 kmpl,3198 cc,197 bhp,18,7 Seater
Toyota Fortuner Sigma 4 2019,"₹ 45,00,000",First Owner,7700 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT 2019,"₹ 45,00,000",First Owner,4800 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inches,7 Seater
Toyota Innova Crysta 2.8 Z AT 7 STR 2019,"₹ 32,00,000",First Owner,5800 Km,Automatic,Diesel,MUV,14.29 kmpl,2755 cc,172 bhp,17 inch,7 Seater
Hyundai Creta 1.4 E+ Diesel 2017,"₹ 7,30,000",First Owner,50000 Km,Manual,Diesel,SUV,21.38 kmpl,1396 cc,88.7bhp,16'',5 Seater
Toyota Fortuner 2.8 4x4 AT 2018,"₹ 40,00,000",First Owner,8000 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inch,7 Seater
Mercedes-Benz E-Class E 220 d 2018,"₹ 50,00,000",First Owner,6900 Km,Automatic,Diesel,Sedan,18.0 kmpl,1950 cc,192bhp,17 Inch,5 Seater
Ford Endeavour Titanium Plus 2.0 4x4 AT BS6 2020,"₹ 40,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,12.4 kmpl,1996 cc,168 bhp,18 inch,7 Seater
Toyota Fortuner 2.8 4x4 AT BS6 2021,"₹ 4,50,00,000",First Owner,5000 Km,Automatic,Diesel,SUV,15.04 kmpl,2755 cc,174 bhp,17 Inches,7 Seater
Toyota Fortuner 2.8 4x4 AT 2020,"₹ 45,00,000",First Owner,5500 Km,Automatic,Diesel,SUV,14.24 kmpl,2755 cc,174 bhp,18 inches,7 Seater
Ford Endeavour Titanium Plus 2.0 4x4 AT BS6 2020,"₹ 45,00,000",First Owner,8000 Km,Automatic,Diesel,SUV,12.4 kmpl,1996 cc,168 bhp,18 inch,7 Seater
Mercedes-Benz E-Class E 220d Exclusive BS6 2021,"₹ 80,00,000",First Owner,50000 Km,Automatic,Diesel,Sedan,12.06 kmpl,1950 cc,192 bhp,17 Inches,5 Seater
Toyota Innova 2.0 G1 2008,"₹ 4,90,000",First Owner,150000 Km,Manual,Petrol,MUV,12.99 kmpl,1998 cc,136,15 Inch,5 Seater
Maruti Suzuki Ritz LDi 2015,"₹ 3,25,000",First Owner,72000 Km,Manual,Diesel,Hatchback,23.2 kmpl,1248 cc,73 bhp,14'',5 Seater
Maruti Suzuki Baleno Delta 1.2 2018,"₹ 5,80,000",Second Owner,21000 Km,Manual,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Maruti Suzuki Swift VDi 2015,"₹ 4,23,330",Fourth Owner,44084 Km,Manual,Diesel,Hatchback,25.2kmpl,1248 cc,74bhp,14 Inch,5 Seater
Maruti Suzuki Alto LXi 2012,"₹ 1,83,340",First Owner,65359 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Maruti Suzuki Alto K10 VXi 2013,"₹ 2,65,000",First Owner,61000 Km,Manual,Petrol,Hatchback,24.07 kmpl,998 cc,67 bhp,13 inch,5 Seater
Maruti Suzuki Ciaz Alpha 1.4 AT 2016,"₹ 7,60,000",First Owner,21000 Km,Automatic,Petrol,Sedan,19.12 kmpl,1373 cc,91 bhp,16 Inch,5 Seater
Honda Civic 1.8 I-VTEC 2009,"₹ 1,65,000",Fourth Owner,98000 Km,Manual,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Honda City V 2014,"₹ 5,50,000",First Owner,108000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
BMW 5 Series 520d 2017,"₹ 39,50,000",First Owner,45000 Km,Automatic,Diesel,Sedan,18.48 kmpl,1995 cc,184 bhp,"17"" inches",5 Seater
Tata Tiago Revotron XZ 2020,"₹ 5,94,000",First Owner,1200 Km,Manual,Petrol,Hatchback,23.84,1199 cc,84,13 Inch,5 Seater
Mercedes-Benz C-Class 200 K ELEGANCE AT 2009,"₹ 5,50,000",Second Owner,82000 Km,Automatic,Petrol,Sedan,8.66 kmpl,1796 cc,178Bhp,16'',5 Seater
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT 2016,"₹ 5,80,000",First Owner,41028 Km,Manual,Petrol,Hatchback,18.9 kmpl,1197 cc,81 bhp,14,5 Seater
Kia Carnival Limousine 7 STR 2020,"₹ 34,00,000",First Owner,18000 Km,Automatic,Diesel,MUV,13.9 kmpl,2199 cc,197 bhp,18 inch,9 Seater
Maruti Suzuki Swift DZire VXi Opt 2016,"₹ 4,50,000",First Owner,58000 Km,Manual,Petrol,Sedan,22 Kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki SX4 VXi 2010,"₹ 2,65,000",First Owner,74000 Km,Manual,Petrol,Sedan,16.51 kmpl,1586 cc,103 bhp,15'',5 Seater
Tata Indica Vista Terra 1.4 TDI 2008,"₹ 2,10,000",First Owner,65310 Km,Manual,Diesel,Hatchback,16.3 kmpl,1405 cc,71 bhp,13'',5 Seater
Honda Accord 2.4 ELEGANCE AT 2009,"₹ 3,25,000",Second Owner,79000 Km,Automatic,Petrol,Sedan,8.86 kmpl,2354 cc,180bhp,16 Inches,5 Seater
Honda Brio S MT 2013,"₹ 3,15,000",Second Owner,49000 Km,Manual,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Honda City ZX EXi 2008,"₹ 1,85,000",First Owner,62000 Km,Manual,Petrol,Sedan,12.8 kmpl,1497 cc,78,14 Inch,5 Seater
Honda City ZX GXi 2006,"₹ 2,85,000",First Owner,62449 Km,Manual,Petrol,Sedan,12.8 kmpl,1497 cc,78,14 Inch,5 Seater
Honda City 1.5 V MT 2013,"₹ 6,30,000",First Owner,13284 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Mercedes-Benz C-Class C 250 CDI BlueEfficiency 2012,"₹ 13,50,000",First Owner,81441 Km,Automatic,Diesel,Sedan,11.45 kmpl,2143 cc,207,16'',5 Seater
Tata Safari 4x2 EX DICOR 2010,"₹ 2,50,000",Third Owner,132000 Km,Manual,Diesel,SUV,13.93 kmpl,2179 cc,138 bhp,16 Inch,7 Seater
Maruti Suzuki Baleno Delta AT 1.2 2016,"₹ 5,51,000",First Owner,36000 Km,Automatic,Petrol,Hatchback,21.4 kmpl,1197 cc,83 bhp,15 Inch,5 Seater
Hyundai Verna 1.6 CRDI SX (O) 2014,"₹ 5,53,000",First Owner,2500 Km,Manual,Diesel,Sedan,22.32 kmpl,1582 cc,126.2bhp,16 Inch,5 Seater
Maruti Suzuki Swift DZire VXI 1.2 BS IV 2018,"₹ 6,07,700",First Owner,42754 Km,Manual,Petrol,Sedan,20.85 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift DZire ZDi AMT 2016,"₹ 6,90,000",First Owner,42000 Km,Automated Manual Transmission,Diesel,Sedan,26.59 kmpl,1248 cc,74 bhp,14 Inch,5 Seater
Tata Tiago Revotron XT 2018,"₹ 4,95,000",First Owner,39000 Km,Manual,Petrol,Hatchback,23.84 kmpl,1199 cc,84,14 Inch,5 Seater
Honda Jazz V i-VTEC 2011,"₹ 3,15,000",Second Owner,35000 Km,Manual,Petrol,Hatchback,18.7 kmpl,1198 cc,87 bhp,14 inch,5 Seater
Mahindra KUV100 NXT K4 Plus 5 STR 2019,"₹ 5,25,000",First Owner,27000 Km,Manual,Petrol,SUV,18.15 kmpl,1198 cc,82 bhp,14 Inch,5 Seater
Honda WR-V S Alive Edition Petrol 2018,"₹ 7,85,000",First Owner,22000 Km,Manual,Petrol,Crossover,25.5 kmpl,1199,99 bhp,16 Inch,5 Seater
Honda WR-V VX Petrol 2017,"₹ 7,21,000",First Owner,75000 Km,Manual,Petrol,Crossover,17.5 kmpl,1199 cc,88.7bhp,16 Inch,5 Seater
Mahindra TUV300 T8 AMT 2016,"₹ 7,85,000",First Owner,66000 Km,Automated Manual Transmission,Diesel,SUV,18.49 Kmpl,1493 cc,84bhp,15 Inch,7 Seater
Mahindra TUV300 T8 2015,"₹ 7,60,000",First Owner,53000 Km,Manual,Diesel,SUV,18.49 Kmpl,1493 cc,84bhp,15 Inch,5 Seater
Hyundai Elite i20 Magna Executive 1.2 2018,"₹ 7,03,537",First Owner,11000 Km,Manual,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 inch,5 Seater
Hyundai Elite i20 Magna 1.2 2018,"₹ 5,15,000",First Owner,47374 Km,Manual,Petrol,Hatchback,18.6 kmpl,1197 cc,82 bhp,14 Inch,5 Seater
Hyundai Santro Xing GLS 2013,"₹ 2,90,000",First Owner,64000 Km,Manual,Petrol,Hatchback,17.92 kmpl,1086cc,62 bhp,13 Inch,5 Seater
Mahindra Marazzo M4 7 STR 2019,"₹ 10,95,000",First Owner,32000 Km,Manual,Diesel,MUV,17.6 kmpl,1497 cc,121 bhp,16 Inches,7 Seater
Ford Freestyle Titanium 1.2 Ti-VCT 2018,"₹ 6,75,000",First Owner,11000 Km,Manual,Petrol,Hatchback,19 kmpl,1194 cc,95 bhp,15 Inches,5 Seater
Honda City 1.5 S MT 2009,"₹ 2,70,000",First Owner,50000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Maruti Suzuki Alto LXi 2010,"₹ 1,00,000",Second Owner,145000 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Honda Civic 1.8 I-VTEC 2008,"₹ 1,08,000",Second Owner,260000 Km,Manual,Petrol,Sedan,14.8 kmpl,1799 cc,130 bhp,15 inch,5 Seater
Honda CR-V 2.4L AT AVN 2016,"₹ 10,75,000",First Owner,116000 Km,Automatic,Petrol,SUV,12 kmpl,2354 cc,187 bhp,17 Inch,5 Seater
Chevrolet AVEO U VA LT 1.2 2009,"₹ 1,35,000",Third Owner,100000 Km,Manual,Petrol,Hatchback,15.26 kmpl,1150 cc,76 bhp,13 Inches,5 Seater
Hyundai i10 Magna 1.2 2009,"₹ 2,00,000",First Owner,100000 Km,Manual,Petrol,Hatchback,12.8 kmpl,1197 cc,80bhp,13 Inch,5 Seater
Maruti Suzuki Swift DZire LXi 2010,"₹ 2,85,000",First Owner,82000 Km,Manual,Petrol,Sedan,20.85 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Omni 5 STR BS-IV 2013,"₹ 1,85,000",First Owner,70461 Km,Manual,Petrol,Van,16.8kmpl,796 cc,59Nm,12,5 Seater
Honda City V 2013,"₹ 5,65,000",Second Owner,57000 Km,Manual,Petrol,Sedan,17.8 kmpl,1497 cc,117 bhp,15 Inch,5 Seater
Maruti Suzuki Zen Estilo VXi 2010,"₹ 2,45,000",Second Owner,64000 Km,Manual,Petrol,Hatchback,13.6kmpl,1061 cc,64,13 inch,5 Seater
Honda Amaze 1.2 S MT Petrol BS6 2020,"₹ 6,43,750",First Owner,500 Km,Manual,Petrol,Sedan,18.6 kmpl,1199cc,89 bhp,14 Inch,5 Seater
Maruti Suzuki Baleno Alpha 1.2 2017,"₹ 6,95,000",First Owner,41000 Km,Manual,Petrol,Hatchback,21.4kmpl,1197 cc,83.1bhp,16 Inch,5 Seater
Maruti Suzuki Swift VXi (O) 2015,"₹ 5,35,000",First Owner,20000 Km,Manual,Petrol,Hatchback,20.4 kmpl,1197 cc,83 bhp,14 Inch,5 Seater
Maruti Suzuki Swift ZDi 2014,"₹ 3,70,800",First Owner,56000 Km,Manual,Diesel,Hatchback,25.2 kmpl,1248cc,74bhp,14 Inch,5 Seater
Maruti Suzuki Alto LXi 2010,"₹ 1,49,350",Second Owner,39664 Km,Manual,Petrol,Hatchback,19.7 kmpl,796 cc,47 bhp,12 Inch,5 Seater
Maruti Suzuki Alto LX 2010,"₹ 1,49,350",First Owner,69000 Km,Manual,Petrol,Hatchback,14.54 kmpl,796cc,47,12 Inch,5 Seater
Honda Brio VX AT 2013,"₹ 4,35,000",First Owner,29000 Km,Automatic,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
Jaguar XJ 3.0 DIESEL PORTFOLIO 2013,"₹ 34,00,000",First Owner,17000 Km,Automatic,Diesel,Sedan,13.53 kmpl,2993 cc,271 bhp,17 Inch,5 Seater
Mercedes-Benz CLA 200 CDI Sport 2017,"₹ 21,00,000",Second Owner,52000 Km,Automatic,Diesel,Sedan,17.9 kmpl,2143 cc,134 bhp,17'',5 Seater
Hyundai Verna 1.6 VTVT SX 2014,"₹ 6,95,000",First Owner,79000 Km,Manual,Petrol,Sedan,17.4 kmpl,1591 cc,121 bhp,16 Inch,5 Seater
Maruti Suzuki 800 Std 2008,"₹ 50,000",Second Owner,51000 Km,Manual,Petrol,Hatchback,16.1 kmpl,796 cc,37bhp,12 Inch,5 Seater
Maruti Suzuki ALTO 800 LXi 2015,"₹ 1,99,000",First Owner,55654 Km,Manual,Petrol,Hatchback,24.7 kmpl,796cc,48 bhp,12 Inch,5 Seater
Toyota Etios Liva G 2017,"₹ 4,95,000",Second Owner,36000 Km,Manual,Petrol,Hatchback,17.71 kmpl,1197 cc,79 bhp,14 Inch,5 Seater
Hyundai Xcent S 1.2 2017,"₹ 5,45,000",First Owner,15000 Km,Manual,Petrol,Sedan,19.1,1197 cc,68 bhp,13 inch,5 Seater
Hyundai Xcent SX 1.1 CRDi 2017,"₹ 6,10,000",First Owner,21000 Km,Manual,Diesel,Sedan,24.4 kmpl,1120,71 bhp,14 inch,5 Seater
Hyundai Grand i10 Magna 1.2 Kappa VTVT 2020,"₹ 5,95,000",First Owner,8000 Km,Manual,Petrol,Hatchback,20 kmpl,1197 cc,81 bhp,14,5 Seater
Hyundai Grand i10 Sportz U2 1.2 CRDi 2015,"₹ 4,85,000",First Owner,31000 Km,Manual,Diesel,Hatchback,24.95 kmpl,1186 cc,74 bhp,14 Inch,5 Seater
Hyundai i20 Sportz 1.2 2013,"₹ 4,35,000",First Owner,30000 Km,Manual,Petrol,Hatchback,12.4 kmpl,1197 cc,80Bhp,14 Inch,5 Seater
Hyundai i10 Magna 1.1 2016,"₹ 4,90,000",First Owner,19000 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13,5 Seater
Hyundai i10 Magna 1.1 2014,"₹ 3,95,000",First Owner,44000 Km,Manual,Petrol,Hatchback,19.81 kmpl,1086 cc,68 bhp,13,5 Seater
Hyundai i10 Era 2008,"₹ 2,45,000",First Owner,23000 Km,Manual,Petrol,Hatchback,20 kmpl,1086 cc,67 bhp,13 Inch,5 Seater
Hyundai Elantra CRDI SX 2015,"₹ 10,50,000",First Owner,23000 Km,Manual,Diesel,Sedan,22.7 kmpl,1582 cc,126,16 Inch,5 Seater
Hyundai Elantra 1.8 SX MT 2014,"₹ 7,75,000",First Owner,50000 Km,Manual,Petrol,Sedan,16.3 kmpl,1797 cc,147 bhp,16 Inch,5 Seater
Hyundai Eon Era 2013,"₹ 3,15,000",First Owner,11000 Km,Manual,Petrol,Hatchback,21.1 kmpl,814cc,55 bhp,12 Inch,5 Seater
Skoda Rapid 1.6 MPI AMBITION 2013,"₹ 3,34,750",First Owner,67000 Km,Manual,Petrol,Sedan,15 kmpl,1598 cc,104 bhp,15 Inch,5 Seater
Renault Duster 85 PS RXL 2015,"₹ 6,15,000",Second Owner,56000 Km,Manual,Diesel,SUV,19.6 kmpl,1461 cc,108.45bhp,16 Inch,5 Seater
Nissan Terrano XL Plus 85 PS 2014,"₹ 4,37,750",First Owner,71000 Km,Manual,Diesel,SUV,20.5 kmpl,1461 cc,84 bhp,16 Inch,5 Seater
Nissan Sunny XL DIESEL 2013,"₹ 3,07,970",First Owner,78000 Km,Manual,Diesel,Sedan,22.7 kmpl,1461 cc,85 bhp,15 Inch,5 Seater
Volkswagen Vento Highline Diesel 2012,"₹ 5,65,000",First Owner,49000 Km,Manual,Diesel,Sedan,20.5 kmpl,1598 cc,103 bhp,15 inches,5 Seater
Ford EcoSport Titanium 1.5L TDCi 2016,"₹ 7,60,000",First Owner,54000 Km,Manual,Diesel,SUV,18.88 kmpl,1498 cc,110,"15""",5 Seater
Ford Figo Celebration Edition Diesel 2013,"₹ 3,35,000",First Owner,63000 Km,Manual,Diesel,Hatchback,25.83kmpl,1498cc,99bhp,14 Inch,5 Seater
Chevrolet Beat LS Petrol 2015,"₹ 3,15,000",First Owner,19000 Km,Manual,Petrol,Hatchback,18.6 kmpl,1199 cc,79 bhp,14 Inches,5 Seater
Ford Figo Duratorq ZXI 1.4 2012,"₹ 2,95,000",First Owner,70193 Km,Manual,Diesel,Hatchback,25.83kmpl,1498cc,99bhp,14 Inch,5 Seater
Renault KWID 1.0 RXT 2016,"₹ 2,49,000",First Owner,47512 Km,Manual,Petrol,Hatchback,23.01 kmpl,999 cc,67 bhp,13 Inch,5 Seater
Honda Brio S MT 2012,"₹ 2,59,000",First Owner,69655 Km,Manual,Petrol,Hatchback,18.9 kmpl,1198 cc,87 bhp,14 Inch,5 Seater
BMW 6 Series 640d Gran Coupe 2015,"₹ 78,95,758",First Owner,69858 Km,Automatic,Diesel,Sedan,17.54 kmpl,2993 cc,313 bhp,19 Inch,5 Seater
Maruti Suzuki Ertiga ZDI Plus Smart Hybrid 2018,"₹ 10,14,453",First Owner,75000 Km,Manual,Diesel,MUV,25.47 kmpl,1462 cc,89 bhp,15 Inches,5 Seater
Maruti Suzuki Ertiga ZDi 2015,"₹ 7,50,000",First Owner,84565 Km,Manual,Diesel,MUV,20.77 kmpl,1248 cc,89 bhp,15 Inch,7 Seater
Maruti Suzuki Ritz VXi 2012,"₹ 3,90,000",First Owner,43731 Km,Manual,Petrol,Hatchback,18.5 kmpl,1197 cc,85 bhp,14 inch,5 Seater
